name,r,g,b
red,255,0,0
blue,0,0,255
green,0,255,0
yellow,255,255,0
cyan,0,255,255
magenta,255,0,255
black,0,0,0
white,255,255,255
gray,128,128,128
orange,255,165,0
purple,128,0,128
brown,165,42,42
pink,255,192,203
lime,0,255,0
navy,0,0,128
teal,0,128,128
olive,128,128,0
maroon,128,0,0
silver,192,192,192
gold,255,215,0
beige,245,245,220
coral,255,127,80
indigo,75,0,130
violet,238,130,238
turquoise,64,224,208
salmon,250,128,114
chocolate,210,105,30
tan,210,180,140
plum,221,160,221
orchid,218,112,214
azure,240,255,255
ivory,255,255,240
khaki,240,230,140
mint,189,252,201
peach,255,218,185
crimson,220,20,60
skyblue,135,206,235
lavender,230,230,250
aqua,0,255,255
forestgreen,34,139,34
aliceblue,240,248,255
antiquewhite,250,235,215
apricot,251,206,177
asparagus,135,169,107
atomic tangerine,255,153,102
banana,227,207,87
bittersweet,254,111,94
black,0,0,0
blanchedalmond,255,235,205
blue,0,0,255
bluegreen,13,152,186
blueviolet,138,43,226
brick red,203,65,84
brilliant rose,246,83,166
brown,165,42,42
buff,240,220,130
burgundy,128,0,32
burlywood,222,184,135
byzantium,112,41,99
cadet,83,104,114
cadetblue,95,158,160
celadon,172,225,175
cerise,222,49,99
cerulean,42,82,190
chartreuse,127,255,0
cherry blossom pink,255,183,197
chestnut,149,69,53
chocolate,210,105,30
cobalt,0,71,171
copper,184,115,51
coral,255,127,80
corn,251,236,93
cornflowerblue,100,149,237
cornsilk,255,248,220
cream,255,253,208
crimson,220,20,60
cyan,0,255,255
dandelion,240,225,48
darkblue,0,0,139
darkcyan,0,139,139
darkgoldenrod,184,134,11
darkgray,169,169,169
darkgreen,0,100,0
darkkhaki,189,183,107
darkmagenta,139,0,139
darkolivegreen,85,107,47
darkorange,255,140,0
darkorchid,153,50,204
darkred,139,0,0
darksalmon,233,150,122
darkseagreen,143,188,143
darkslateblue,72,61,139
darkslategray,47,79,79
darkturquoise,0,206,209
darkviolet,148,0,211
deeppink,255,20,147
floralwhite,255,250,240
gainsboro,220,220,220
ghostwhite,248,248,255
greenyellow,173,255,47
honeydew,240,255,240
hotpink,255,105,180
indianred,205,92,92
lawngreen,124,252,0
lemonchiffon,255,250,205
lightblue,173,216,230
lightcoral,240,128,128
lightcyan,224,255,255
lightgoldenrodyellow,250,250,210
lightgreen,144,238,144
lightgrey,211,211,211
lightpink,255,182,193
lightsalmon,255,160,122
lightseagreen,32,178,170
lightskyblue,135,206,250
lightslategray,119,136,153
lightsteelblue,176,196,222
lightyellow,255,255,224
mediumaquamarine,102,205,170
mediumblue,0,0,205
mediumorchid,186,85,211
mediumpurple,147,112,219
mediumseagreen,60,179,113
mediumslateblue,123,104,238
mediumspringgreen,0,250,154
mediumturquoise,72,209,204
mediumvioletred,199,21,133
midnightblue,25,25,112
mistyrose,255,228,225
moccasin,255,228,181
navajowhite,255,222,173
oldlace,253,245,230
olivedrab,107,142,35
orangered,255,69,0
palegoldenrod,238,232,170
palegreen,152,251,152
paleturquoise,175,238,238
palevioletred,219,112,147
papayawhip,255,239,213
peachpuff,255,218,185
peru,205,133,63
powderblue,176,224,230
rosybrown,188,143,143
royalblue,65,105,225
saddlebrown,139,69,19
sandybrown,244,164,96
seagreen,46,139,87
seashell,255,245,238
sienna,160,82,45
slateblue,106,90,205
slategray,112,128,144
snow,255,250,250
springgreen,0,255,127
steelblue,70,130,180
thistle,216,191,216
tomato,255,99,71
wheat,245,222,179
whitesmoke,245,245,245
yellowgreen,154,205,50
